season,family,gid,plant,replicated,H_cluster,soluble_solids,S_dry
2020,902,G_5.9.11,1,R3,137.1,18,5.400000000000016e-4
2020,902,G_5.2.72,1,R1,121,18,0
2020,902,G_5.2.72,1,R2,104,18,0
2020,902,G_5.2.72,1,R3,84.1,19,0
2020,111,G_5.3.171,1,R1,56.7,22,0
2020,111,G_5.3.171,1,R2,80,21,0
2020,111,G_5.3.171,1,R3,72.5,19,0
2020,111,G_5.4.135,1,R1,136,18,0.0019199999999999994
2020,111,G_5.4.135,1,R2,380.6,16,0.00534
2020,111,G_5.4.135,1,R3,441.8,16,0.009689999999999999
2020,111,G_5.4.138,1,R1,125.9,23,2.599999999999991e-4
2020,111,G_5.4.138,1,R2,103.3,21,0.001789999999999997
2020,111,G_5.4.138,1,R3,137,16,0.0019199999999999994
2020,111,G_5.4.146,1,R1,162.3,19,5.400000000000016e-4
2020,111,G_5.4.146,1,R2,146.2,18,1.8000000000000237e-4
2020,111,G_5.4.146,1,R3,118.6,18,5.099999999999994e-4
2020,111,G_5.4.154,1,R1,242.2,21,0.00423
2020,111,G_5.4.154,1,R2,160.3,22,0.001820000000000005
